company,salary,age
ＧＭＯクリックホールディングス,845,36
インフォコム,782,41.4
カブドットコム証券,755,37.8
ディー・エヌ・エー,750,32
グリー,742,31.4
ニフティ,738,39.3
エムスリー,729,34
サイバーエージェント,720,30.7
ミクシィ,691,31.8
イマジニア,682,36.9
カカクコム,679,34
クックパッド,676,31.6
フリークアウト,668,30.2
ブロードメディア,667,39.1
アイティメディア,659,37.3
楽天,659,32.8
オリコン,657,43.9
Ｇｕｎｏｓｙ,647,31.1
ネットイヤーグループ,637,35.8
ファンコミュニケーションズ,637,32.4
ＡＬＢＥＲＴ,637,34.2
ＶＯＹＡＧＥ　ＧＲＯＵＰ,634,32.2
メタップス,634,32.9
ガンホー・オンライン・エンターテイメント,630,36.8
ネクスト,630,33.9
コロプラ,628,30.2
駅探,624,38.1
Ｊストリーム,620,34.5
クロス・マーケティンググループ,617,37.6
フェイス,611,37.5
デジタルアーツ,609,36.1
ブレインパッド,609,33.9
サイジニア,606,34.9
サイボウズ,600,33.8
デジタルガレージ,598,35.8
ＧＭＯペイメントゲートウェイ,592,34.2
朝日ネット,591,35.9
ドリコム,590,32.7
ロックオン,586,32.9
ラクーン,582,33
ホットリンク,580,34.4
リブセンス,579,30.9
ゴルフダイジェスト・オンライン,579,37.8
フォーサイド,576,38
バリューコマース,576,35.5
ｅｎｉｓｈ,574,32.7
デジタル・アドバタイジング・コンソーシア,574,32.3
一休,573,32.1
オプトホールディング,571,30.3
アルバイトタイムス,570,36.3
イーブックイニシアティブジャパン,566,35.7
オウケイウェイヴ,566,34.8
エキサイト,563,34.8
モブキャスト,562,34.4
セプテーニ・ホールディングス,562,30.1
ぐるなび,559,35
ｇｕｍｉ,559,33.8
エムティーアイ,546,34.1
オールアバウト,546,34.1
スタートトゥデイ,546,29.2
クラウドワークス,539,30.1
ネクソン,538,33.2
ガイアックス,534,32.1
メンバーズ,533,34.1
エイジア,532,35.1
クルーズ,526,31.8
ユナイテッド,524,31.9
アドウェイズ,521,30.6
ＧＭＯクラウド,521,37.2
アイスタイル,517,32.5
さくらインターネット,517,36.6
みんなのウェディング,513,33.8
レアジョブ,512,33.9
富士山マガジンサービス,510,36.6
Ｕ−ＮＥＸＴ,509,33.6
オイシックス,505,34.6
エニグモ,505,32.6
リアルワールド,505,29.6
インタースペース,504,31
アイレップ,503,31.6
パピレス,503,31.6
ジョルダン,496,36.2
ＧＭＯリサーチ,496,35
ＧＭＯアドパートナーズ,492,31.9
ＧＭＯインターネット,491,32.7
イー・ガーディアン,487,32.4
コムシード,483,38
ベクター,482,38.8
メディアドゥ,482,34.3
Ｅストアー,480,33.1
弁護士ドットコム,480,32.4
トレンダーズ,479,29.7
夢の街創造委員会,476,31.8
ザッパラス,475,33.1
インフォマート,474,33.5
アイフリークモバイル,470,39.8
ＫＬａｂ,469,30
オルトプラス,469,31.5
モバイルファクトリー,465,32.3
イグニス,464,29.1
デジタルアドベンチャー,461,37.6
イトクロ,459,29.1
ケイブ,455,35
ＧＭＯ　ＴＥＣＨ,453,32.4
エイチーム,450,30.5
ＧＭＯペパボ,448,31.8
アエリア,448,36
じげん,448,28.1
カヤック,440,29.2
アルファポリス,439,36.5
インターワークス,437,34
メディアシーク,429,32.2
ピクスタ,427,32.7
オークファン,424,30.8
サイバーステップ,416,28.1
アドベンチャー,416,31.8
比較．ｃｏｍ,413,31.5
エムアップ,412,33.4
ブランジスタ,399,30.3
ケンコーコム,389,35.5
メディア工房,356,30.6
ｆｏｎｆｕｎ,352,33.4
オウチーノ,346,32
Appbank,344,31.3
Ａｉｍｉｎｇ,341,30
